codigo_venda,data,total
214235,"2018-10-04 10:42:12",56.36
214359,"2018-10-04 10:55:42",102.74
214372,"2018-10-04 10:57:42",54.79
214405,"2018-10-04 11:01:46",54.79
214511,"2018-10-04 11:16:32",56.36
214592,"2018-10-04 11:26:24",56.36
214665,"2018-10-04 11:35:42",56.36
214788,"2018-10-04 11:49:03",109.58
214871,"2018-10-04 11:57:32",62.04
214926,"2018-10-04 12:04:35",57.85
214939,"2018-10-04 12:06:18",199.36
214996,"2018-10-04 12:14:29",124.08
215012,"2018-10-04 12:15:45",56.36
215024,"2018-10-04 12:17:26",54.79
215035,"2018-10-04 12:19:04",44.89
215045,"2018-10-04 12:20:00",112.64
215104,"2018-10-04 12:28:02",101.25
215123,"2018-10-04 12:30:57",106.93
215285,"2018-10-04 12:51:33",62.04
215306,"2018-10-04 12:53:40",56.36
215341,"2018-10-04 12:57:47",44.89
215486,"2018-10-04 13:14:40",57.85
215516,"2018-10-04 13:18:10",164.78
215556,"2018-10-04 13:22:24",54.79
215571,"2018-10-04 13:24:37",62.04
215597,"2018-10-04 13:26:51",99.68
215631,"2018-10-04 13:33:52",112.72
215647,"2018-10-04 13:35:36",54.79
215707,"2018-10-04 13:43:38",57.85
215725,"2018-10-04 13:45:21",118.4
215755,"2018-10-04 13:48:49",109.58
215807,"2018-10-04 13:56:25",101.25
215859,"2018-10-04 14:03:30",109.58
215903,"2018-10-04 14:08:40",57.85
215909,"2018-10-04 14:09:27",111.15
216083,"2018-10-04 14:32:42",44.89
216120,"2018-10-04 14:36:14",44.89
216149,"2018-10-04 14:39:18",106.93
216262,"2018-10-04 14:54:28",159.1
216304,"2018-10-04 14:59:14",62.04
216441,"2018-10-04 15:19:22",62.04
216506,"2018-10-04 15:27:42",216.95
216521,"2018-10-04 15:29:43",56.36
216591,"2018-10-04 15:37:38",174.68
216594,"2018-10-04 15:38:00",44.89
216627,"2018-10-04 15:41:57",44.89
216636,"2018-10-04 15:43:13",56.36
216659,"2018-10-04 15:45:38",112.72
216662,"2018-10-04 15:46:07",44.89
216824,"2018-10-04 16:04:11",56.36
216850,"2018-10-04 16:07:28",44.89
216861,"2018-10-04 16:09:03",57.85
216885,"2018-10-04 16:11:15",54.79
216897,"2018-10-04 16:12:29",116.83
216920,"2018-10-04 16:14:32",44.89
216931,"2018-10-04 16:16:21",44.89
216936,"2018-10-04 16:17:46",44.89
216942,"2018-10-04 16:18:29",118.4
216945,"2018-10-04 16:18:51",62.04
216954,"2018-10-04 16:20:35",54.79
217003,"2018-10-04 16:25:20",56.36
217020,"2018-10-04 16:27:20",116.83
217034,"2018-10-04 16:29:11",54.79
217065,"2018-10-04 16:34:15",57.85
217123,"2018-10-04 16:42:34",54.79
217138,"2018-10-04 16:44:24",124.08
217229,"2018-10-04 16:54:35",62.04
217428,"2018-10-04 17:26:56",44.89
217449,"2018-10-04 17:30:17",106.93
217505,"2018-10-04 17:37:45",57.85
217510,"2018-10-04 17:38:28",124.08
217529,"2018-10-04 17:41:04",124.08
217541,"2018-10-04 17:43:07",56.36
217620,"2018-10-04 17:53:50",62.04
217831,"2018-10-04 18:21:01",56.36
217909,"2018-10-04 18:28:49",56.36
218086,"2018-10-04 18:48:37",54.79
218087,"2018-10-04 18:48:40",56.36
218244,"2018-10-04 19:07:33",44.89
218253,"2018-10-04 19:08:26",62.04
218265,"2018-10-04 19:09:27",56.36
218284,"2018-10-04 19:12:44",56.36
218295,"2018-10-04 19:13:39",62.04
218296,"2018-10-04 19:13:42",44.89
218543,"2018-10-04 19:42:05",62.04
218558,"2018-10-04 19:43:25",62.04
218567,"2018-10-04 19:44:08",54.79
218755,"2018-10-04 20:07:14",112.72
218808,"2018-10-04 20:13:03",56.36
218833,"2018-10-04 20:15:17",54.79
218914,"2018-10-04 20:23:10",57.85
218959,"2018-10-04 20:27:28",44.89
219014,"2018-10-04 20:32:47",57.85
219035,"2018-10-04 20:34:43",44.89
219078,"2018-10-04 20:38:34",114.21
219083,"2018-10-04 20:38:43",62.04
219168,"2018-10-04 20:48:47",57.85
219187,"2018-10-04 20:49:49",62.04
219200,"2018-10-04 20:51:29",44.89
219204,"2018-10-04 20:51:42",101.25
219269,"2018-10-04 20:56:45",56.36
219287,"2018-10-04 20:58:10",54.79
219314,"2018-10-04 21:00:26",62.04
219351,"2018-10-04 21:03:37",124.08
219355,"2018-10-04 21:03:53",54.79
219416,"2018-10-04 21:09:32",101.25
219445,"2018-10-04 21:12:11",101.25
219482,"2018-10-04 21:17:08",62.04
219570,"2018-10-04 21:30:03",111.15
219576,"2018-10-04 21:31:14",62.04
219583,"2018-10-04 21:32:13",57.85
219615,"2018-10-04 21:36:31",54.79
219647,"2018-10-04 21:40:40",44.89
219648,"2018-10-04 21:40:42",114.21
219660,"2018-10-04 21:42:04",54.79
219692,"2018-10-04 21:45:30",165.94
219764,"2018-10-04 21:54:41",89.78
219812,"2018-10-04 22:01:49",62.04
219898,"2018-10-04 22:13:08",44.89
219906,"2018-10-04 22:13:46",62.04
219917,"2018-10-04 22:15:13",56.36
219960,"2018-10-04 22:20:32",62.04
219990,"2018-10-04 22:24:04",57.85
220070,"2018-10-04 22:33:19",44.89
220083,"2018-10-04 22:34:48",56.36
220114,"2018-10-04 22:39:13",44.89
220118,"2018-10-04 22:39:38",54.79
220121,"2018-10-04 22:39:48",44.89
220150,"2018-10-04 22:42:15",54.79
220197,"2018-10-04 22:48:52",54.79
220228,"2018-10-04 22:53:18",57.85
220404,"2018-10-04 23:15:14",99.68
220431,"2018-10-04 23:19:10",54.79
220438,"2018-10-04 23:20:18",99.68
220533,"2018-10-04 23:41:28",56.36
220560,"2018-10-04 23:46:45",57.85
220575,"2018-10-04 23:49:41",62.04
220589,"2018-10-04 23:51:35",56.36
220592,"2018-10-04 23:51:42",57.85
220595,"2018-10-04 23:52:14",54.79
220596,"2018-10-04 23:52:17",62.04
220607,"2018-10-04 23:54:01",56.36
220664,"2018-10-05 00:05:53",57.85
220678,"2018-10-05 00:09:41",111.15
220679,"2018-10-05 00:09:57",111.15
220707,"2018-10-05 00:16:41",62.04
220708,"2018-10-05 00:16:45",54.79
220751,"2018-10-05 00:29:52",56.36
220753,"2018-10-05 00:29:55",62.04
220776,"2018-10-05 00:38:33",56.36
220806,"2018-10-05 00:50:09",44.89
221086,"2018-10-05 06:12:53",56.36
221088,"2018-10-05 06:14:52",57.85
221097,"2018-10-05 06:21:20",44.89
