codigo_venda,data,total
15710,"2018-09-03 15:20:45",62.04
15748,"2018-09-03 15:24:57",54.79
15816,"2018-09-03 15:32:34",54.79
15974,"2018-09-03 15:54:29",44.89
16000,"2018-09-03 15:58:07",62.04
16004,"2018-09-03 15:58:35",62.04
16026,"2018-09-03 16:02:11",56.36
16104,"2018-09-03 16:12:21",57.85
16114,"2018-09-03 16:13:24",313.57
16273,"2018-09-03 16:33:48",112.64
16292,"2018-09-03 16:36:13",62.04
16296,"2018-09-03 16:36:56",44.89
16320,"2018-09-03 16:39:07",56.36
16403,"2018-09-03 16:47:35",56.36
16431,"2018-09-03 16:51:05",56.36
16473,"2018-09-03 16:56:17",56.36
16480,"2018-09-03 16:56:55",99.68
16508,"2018-09-03 17:00:29",62.04
16598,"2018-09-03 17:12:18",124.08
16635,"2018-09-03 17:17:19",54.79
16652,"2018-09-03 17:18:49",102.74
16670,"2018-09-03 17:21:27",44.89
16699,"2018-09-03 17:25:13",56.36
16714,"2018-09-03 17:27:21",44.89
16753,"2018-09-03 17:32:36",54.79
16763,"2018-09-03 17:33:59",238.29
16790,"2018-09-03 17:36:19",102.74
16861,"2018-09-03 17:44:25",118.4
16883,"2018-09-03 17:46:23",119.89
16966,"2018-09-03 17:55:57",44.89
17016,"2018-09-03 18:02:31",56.36
17034,"2018-09-03 18:04:35",112.64
17110,"2018-09-03 18:12:56",56.36
17311,"2018-09-03 18:34:11",54.79
17331,"2018-09-03 18:38:04",57.85
17350,"2018-09-03 18:39:54",62.04
17529,"2018-09-03 19:03:50",112.64
17571,"2018-09-03 19:08:29",57.85
17598,"2018-09-03 19:12:53",102.74
17630,"2018-09-03 19:17:25",56.36
17825,"2018-09-03 19:37:19",57.85
17853,"2018-09-03 19:39:40",54.79
17858,"2018-09-03 19:40:07",101.25
17906,"2018-09-03 19:45:37",206.61
17923,"2018-09-03 19:47:17",57.85
17990,"2018-09-03 19:53:44",106.93
18003,"2018-09-03 19:55:25",223.79
18016,"2018-09-03 19:57:00",54.79
18039,"2018-09-03 19:59:39",114.21
18294,"2018-09-03 20:27:37",44.89
18343,"2018-09-03 20:34:04",57.85
18352,"2018-09-03 20:35:15",111.15
18380,"2018-09-03 20:38:03",54.79
18401,"2018-09-03 20:39:44",54.79
18426,"2018-09-03 20:43:04",114.21
18465,"2018-09-03 20:47:57",106.93
18488,"2018-09-03 20:50:33",118.4
18495,"2018-09-03 20:50:57",56.36
18523,"2018-09-03 20:54:10",114.21
18563,"2018-09-03 20:59:34",44.89
18580,"2018-09-03 21:03:14",109.58
18615,"2018-09-03 21:07:53",44.89
18670,"2018-09-03 21:15:37",57.85
18680,"2018-09-03 21:16:58",62.04
18779,"2018-09-03 21:27:31",116.83
18788,"2018-09-03 21:28:23",44.89
18821,"2018-09-03 21:30:49",56.36
18838,"2018-09-03 21:32:22",44.89
18871,"2018-09-03 21:36:23",56.36
18915,"2018-09-03 21:41:59",56.36
19061,"2018-09-03 22:00:05",115.7
19066,"2018-09-03 22:00:27",56.36
19095,"2018-09-03 22:04:10",57.85
19150,"2018-09-03 22:12:05",99.68
19205,"2018-09-03 22:17:42",56.36
19223,"2018-09-03 22:20:13",99.68
19293,"2018-09-03 22:29:05",225.28
19374,"2018-09-03 22:40:50",56.36
19429,"2018-09-03 22:48:05",112.64
19593,"2018-09-03 23:11:39",56.36
19605,"2018-09-03 23:13:44",62.04
19712,"2018-09-03 23:32:04",101.25
19745,"2018-09-03 23:37:28",62.04
19794,"2018-09-03 23:47:05",62.04
19849,"2018-09-03 23:58:58",44.89
19981,"2018-09-04 00:46:39",54.79
20009,"2018-09-04 00:59:00",56.36
20060,"2018-09-04 01:37:23",54.79
20122,"2018-09-04 04:15:24",54.79
20275,"2018-09-04 07:18:09",56.36
20309,"2018-09-04 07:28:28",57.85
20329,"2018-09-04 07:35:03",57.85
20349,"2018-09-04 07:42:18",57.85
20386,"2018-09-04 07:51:58",115.7
20398,"2018-09-04 07:56:04",101.25
20445,"2018-09-04 08:08:36",231.04
20482,"2018-09-04 08:13:09",109.58
20508,"2018-09-04 08:18:48",44.89
20557,"2018-09-04 08:27:39",54.79
20601,"2018-09-04 08:34:09",56.36
20719,"2018-09-04 08:53:24",62.04
20768,"2018-09-04 08:58:54",44.89
20776,"2018-09-04 09:00:47",57.85
20909,"2018-09-04 09:25:16",124.08
21007,"2018-09-04 09:38:50",56.36
21030,"2018-09-04 09:41:54",101.25
21077,"2018-09-04 09:46:28",57.85
21126,"2018-09-04 09:53:04",54.79
21277,"2018-09-04 10:12:49",56.36
21318,"2018-09-04 10:16:11",57.85
21322,"2018-09-04 10:16:34",118.4
21385,"2018-09-04 10:24:08",111.15
21453,"2018-09-04 10:32:25",115.7
21487,"2018-09-04 10:36:42",44.89
21508,"2018-09-04 10:38:26",54.79
21554,"2018-09-04 10:43:00",57.85
21583,"2018-09-04 10:45:46",57.85
21586,"2018-09-04 10:46:30",57.85
21594,"2018-09-04 10:47:48",44.89
21612,"2018-09-04 10:49:12",44.89
21620,"2018-09-04 10:50:52",54.79
21670,"2018-09-04 10:57:03",56.36
21706,"2018-09-04 11:01:46",44.89
21715,"2018-09-04 11:03:32",57.85
21768,"2018-09-04 11:10:25",62.04
21790,"2018-09-04 11:13:17",62.04
21806,"2018-09-04 11:15:20",116.83
21856,"2018-09-04 11:21:09",109.58
21892,"2018-09-04 11:26:05",54.79
21989,"2018-09-04 11:39:07",54.79
22017,"2018-09-04 11:42:10",57.85
22091,"2018-09-04 11:48:57",101.25
22092,"2018-09-04 11:49:01",57.85
22252,"2018-09-04 12:08:41",44.89
22281,"2018-09-04 12:12:31",56.36
22373,"2018-09-04 12:22:45",44.89
22427,"2018-09-04 12:29:42",44.89
